id,title,type,release_year,runtime,genres,production_countries,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
tm110766,Chronicle of a Disappearance,MOVIE,1998-01-01,84,['drama'],"['DE', 'PS', 'US', 'FR']",6.9,775.0,2.674,6.4
tm8859,Oh Darling! Yeh Hai India!,MOVIE,1995-01-01,153,['comedy'],['IN'],4.0,1790.0,2.346,5.2
ts251477,My First Errand,SHOW,1991-01-01,18,['reality'],['JP'],0.0,0.0,16.506,8.0
ts224786,Escalona,SHOW,1991-01-01,44,['drama'],['CO'],0.0,0.0,8.981,7.612
tm58893,Duplicate,MOVIE,1998-01-01,165,"['comedy', 'action', 'crime', 'romance', 'thriller']",['IN'],5.5,7914.0,6.785,5.9
tm9898,Muthu,MOVIE,1995-01-01,165,"['comedy', 'drama', 'romance', 'action']",['IN'],7.6,3056.0,6.74,7.08
tm62385,Hum Saath Saath Hain,MOVIE,1999-01-01,177,"['romance', 'family', 'drama']",['IN'],6.3,8985.0,6.587,6.0
tm12482,Ram Jaane,MOVIE,1995-01-01,172,"['crime', 'action', 'drama', 'romance']",['IN'],5.4,4087.0,4.962,5.143
tm118438,Anjaam,MOVIE,1994-01-01,146,"['drama', 'thriller', 'romance', 'crime']",['IN'],6.6,6808.0,4.901,7.25
tm110225,English Babu Desi Mem,MOVIE,1996-01-01,163,"['romance', 'comedy', 'drama']",['IN'],4.6,2459.0,4.53,5.346
tm191614,Destiny,MOVIE,1997-01-01,136,"['drama', 'history', 'romance', 'comedy']","['EG', 'FR']",7.2,2995.0,3.905,6.8
tm110160,Avvai Shanmugi,MOVIE,1996-01-01,160,"['drama', 'comedy']",['IN'],7.9,2706.0,3.89,7.4
tm42397,Hello Brother,MOVIE,1999-01-01,131,"['romance', 'comedy', 'action', 'fantasy']",['IN'],4.6,4393.0,3.796,5.7
tm184224,Sinbad: Afros and Bellbottoms,MOVIE,1993-01-01,59,"['comedy', 'documentation']",['US'],7.7,189.0,3.404,5.5
tm184326,Damini,MOVIE,1993-01-01,175,"['drama', 'crime']",['IN'],7.8,3693.0,3.401,7.8
tm57169,Monty Python: Live at Aspen,MOVIE,1998-01-01,58,"['comedy', 'documentation']","['GB', 'US']",7.8,1122.0,3.351,6.9
tm47530,Jeans,MOVIE,1998-01-01,175,"['comedy', 'drama', 'romance']",['IN'],6.4,3728.0,2.978,6.483
tm52083,West Beirut,MOVIE,1998-01-01,105,"['comedy', 'drama', 'romance', 'war', 'european']","['LB', 'BE', 'FR', 'NO']",7.6,4462.0,2.905,7.4
tm256669,Gumrah,MOVIE,1993-01-01,149,"['crime', 'drama', 'thriller', 'action']",['IN'],6.1,857.0,2.724,7.4
tm449775,Shikari,MOVIE,1991-01-01,162,"['drama', 'action']","['SU', 'IN']",5.8,79.0,2.671,6.7
tm7032,Out of Life,MOVIE,1991-01-01,97,"['drama', 'crime', 'war', 'european']","['IT', 'LB', 'BE', 'FR']",6.9,412.0,2.565,6.3
tm210754,Have You Ever Seen Fireflies? - Theatre Play,MOVIE,1999-01-01,118,"['comedy', 'drama']",['TR'],0.0,0.0,2.531,7.8
tm334788,Yodha,MOVIE,1991-01-01,142,"['drama', 'action']",['IN'],4.5,214.0,2.396,5.0
tm192301,Minsara Kanavu,MOVIE,1997-01-01,145,"['comedy', 'drama', 'romance']",['IN'],6.7,1276.0,2.181,6.708
tm314602,Dushmani,MOVIE,1995-01-01,156,"['action', 'romance', 'drama']",['IN'],5.0,258.0,2.179,8.3
tm203186,Children of Shatila,MOVIE,1999-01-01,50,"['documentation', 'history']",['LB'],7.7,105.0,2.004,6.7
tm64729,Sinbad: Nothin' but the Funk,MOVIE,1997-01-01,55,"['comedy', 'documentation']",['US'],6.4,70.0,1.939,5.2
tm117840,The Emigrant,MOVIE,1994-01-01,129,['drama'],"['EG', 'FR']",6.5,1056.0,1.548,6.1
tm424630,A Triumph of the Heart: The Ricky Bell Story,MOVIE,1991-01-01,100,"['drama', 'sport']",['US'],7.2,256.0,1.5,5.1
tm204173,Aashik Aawara,MOVIE,1993-01-01,153,"['romance', 'comedy', 'drama']",['IN'],4.8,345.0,1.462,5.5
tm1096916,The Trial of Adolf Eichmann,MOVIE,1997-01-01,90,['documentation'],['FR'],7.4,123.0,1.448,7.7
tm326102,Qila,MOVIE,1998-01-01,160,"['drama', 'family', 'music']",['IN'],4.9,137.0,1.414,6.0
tm7810,Nightmare in Columbia County,MOVIE,1991-01-01,100,"['drama', 'crime', 'thriller']",['US'],5.5,364.0,1.357,6.0
tm104933,Sinbad: Son of a Preacher Man,MOVIE,1996-01-01,56,"['comedy', 'documentation']",['US'],6.8,128.0,1.057,5.8
ts4,Breaking Bad,SHOW,2008-01-01,48,"['drama', 'comedy', 'crime', 'thriller']",['US'],9.5,1936461.0,451.776,8.868
ts9,The Walking Dead,SHOW,2010-01-01,46,"['action', 'drama', 'horror', 'thriller']",['US'],8.1,1013253.0,656.772,8.116
ts21469,Grey's Anatomy,SHOW,2005-01-01,48,"['drama', 'romance']",['US'],7.6,316260.0,1003.948,8.256
ts17156,Arrested Development,SHOW,2003-01-01,28,['comedy'],['US'],8.7,309568.0,53.506,8.007
ts8308,Community,SHOW,2009-01-01,23,['comedy'],['US'],8.5,271794.0,123.496,8.0
ts22337,NCIS,SHOW,2003-01-01,43,"['thriller', 'comedy', 'action', 'crime', 'drama']",['US'],7.7,137745.0,529.18,7.622
ts3371,Avatar: The Last Airbender,SHOW,2005-01-01,24,"['animation', 'action', 'family', 'fantasy']",['US'],9.3,324247.0,70.273,8.7
ts21465,Supernatural,SHOW,2005-01-01,45,"['drama', 'scifi', 'thriller', 'fantasy', 'horror']",['US'],8.4,453184.0,572.356,8.303
ts20371,Top Gear,SHOW,2002-01-01,58,"['comedy', 'reality', 'european', 'music']",['GB'],8.7,120892.0,65.944,7.38
tm44313,The Lord of the Rings: The Fellowship of the Ring,MOVIE,2001-01-01,178,"['fantasy', 'action', 'drama']","['NZ', 'US']",8.8,1895545.0,110.122,8.394
ts288536,The Great British Baking Show,SHOW,2010-01-01,58,"['reality', 'european']",['GB'],8.6,11204.0,18.258,7.611
ts20604,Friday Night Lights,SHOW,2006-01-01,43,"['drama', 'sport']",['US'],8.7,68182.0,19.601,8.035
ts20573,The IT Crowd,SHOW,2006-01-01,25,"['comedy', 'european']",['GB'],8.5,155675.0,39.786,8.13
tm113842,Minority Report,MOVIE,2002-01-01,144,"['thriller', 'action', 'crime', 'scifi']",['US'],7.6,560336.0,27.119,7.331
tm100029,Scott Pilgrim vs. the World,MOVIE,2010-01-01,112,"['comedy', 'romance', 'action', 'fantasy']","['GB', 'CA', 'US', 'JP']",7.5,435120.0,35.09,7.457
tm56184,The Dark Knight,MOVIE,2008-01-01,152,"['drama', 'thriller', 'action', 'crime']","['GB', 'US']",9.0,2684317.0,81.703,8.508
ts5716,The Amazing Race,SHOW,2001-01-01,48,"['reality', 'family', 'action']",['US'],7.8,14888.0,37.313,6.804
ts22011,Heartland,SHOW,2007-01-01,44,"['drama', 'family']",['CA'],8.5,17597.0,89.589,8.29
ts11313,DEATH NOTE,SHOW,2006-01-01,24,"['animation', 'drama', 'fantasy', 'thriller', 'crime']",['JP'],9.0,334730.0,114.187,8.642
